gene_id	GeneSymbol	Chromosome	Class
gene-LOC123743083	LOC123743083	NC_059446.1:18025640-18032719	lncRNA
gene-LOC123743083	LOC123743083	NC_059446.1:18025640-18032719	lncRNA
gene-LOC106604377	LOC106604377	NC_059446.1:18034249-18053414	protein_coding
gene-LOC106604377	LOC106604377	NC_059446.1:18034249-18053414	protein_coding
gene-LOC106604377	LOC106604377	NC_059446.1:18034249-18053414	protein_coding
gene-LOC106604378	LOC106604378	NC_059446.1:18053681-18057922	protein_coding
gene-LOC106604378	LOC106604378	NC_059446.1:18053681-18057922	protein_coding
gene-LOC106604378	LOC106604378	NC_059446.1:18053681-18057922	protein_coding
gene-LOC106604379	LOC106604379	NC_059446.1:18064466-18068724	protein_coding
gene-LOC106604379	LOC106604379	NC_059446.1:18064466-18068724	protein_coding
gene-LOC106604379	LOC106604379	NC_059446.1:18064466-18068724	protein_coding
gene-ints5	ints5	NC_059446.1:18068812-18072526	protein_coding
gene-ints5	ints5	NC_059446.1:18068812-18072526	protein_coding
gene-ints5	ints5	NC_059446.1:18068812-18072526	protein_coding
gene-ganabb	ganabb	NC_059446.1:18076376-18097899	protein_coding
gene-ganabb	ganabb	NC_059446.1:18076376-18097899	protein_coding
gene-ganabb	ganabb	NC_059446.1:18076376-18097899	protein_coding
gene-si:ch211-114c17.1	si:ch211-114c17.1	NC_059446.1:18098134-18112764	protein_coding
gene-si:ch211-114c17.1	si:ch211-114c17.1	NC_059446.1:18098134-18112764	protein_coding
gene-si:ch211-114c17.1	si:ch211-114c17.1	NC_059446.1:18098134-18112764	protein_coding
gene-saks1	saks1	NC_059446.1:18112697-18116393	gene=saks1
gene-saks1	saks1	NC_059446.1:18112697-18116393	gene=saks1
gene-saks1	saks1	NC_059446.1:18112697-18116393	gene=saks1
gene-LOC106604384	LOC106604384	NC_059446.1:18120798-18133065	protein_coding
gene-LOC106604384	LOC106604384	NC_059446.1:18120798-18133065	protein_coding
gene-LOC106604384	LOC106604384	NC_059446.1:18120798-18133065	protein_coding
gene-map1lc3cl	map1lc3cl	NC_059446.1:18139718-18141860	protein_coding
gene-map1lc3cl	map1lc3cl	NC_059446.1:18139718-18141860	protein_coding
gene-map1lc3cl	map1lc3cl	NC_059446.1:18139718-18141860	protein_coding
gene-LOC106604383	LOC106604383	NC_059446.1:18143706-18153678	protein_coding
gene-LOC106604383	LOC106604383	NC_059446.1:18143706-18153678	protein_coding
gene-LOC106604383	LOC106604383	NC_059446.1:18143706-18153678	protein_coding
gene-LOC106604354	LOC106604354	NC_059446.1:18154383-18156455	pseudogene
gene-LOC106604354	LOC106604354	NC_059446.1:18154383-18156455	pseudogene
gene-LOC106604354	LOC106604354	NC_059446.1:18154383-18156455	pseudogene
gene-dnajc4	dnajc4	NC_059446.1:18167070-18174152	protein_coding
gene-dnajc4	dnajc4	NC_059446.1:18167070-18174152	protein_coding
gene-dnajc4	dnajc4	NC_059446.1:18167070-18174152	protein_coding
gene-LOC106604412	LOC106604412	NC_059446.1:18177410-18191756	protein_coding
gene-LOC106604412	LOC106604412	NC_059446.1:18177410-18191756	protein_coding
gene-LOC106604412	LOC106604412	NC_059446.1:18177410-18191756	protein_coding
gene-stx5a	stx5a	NC_059446.1:18200230-18208974	protein_coding
gene-stx5a	stx5a	NC_059446.1:18200230-18208974	protein_coding
gene-stx5a	stx5a	NC_059446.1:18200230-18208974	protein_coding
gene-zgc:162144	zgc:162144	NC_059446.1:18209109-18211185	protein_coding
gene-zgc:162144	zgc:162144	NC_059446.1:18209109-18211185	protein_coding
gene-zgc:162144	zgc:162144	NC_059446.1:18209109-18211185	protein_coding
gene-LOC106604356	LOC106604356	NC_059446.1:18216616-18234824	protein_coding
gene-LOC106604356	LOC106604356	NC_059446.1:18216616-18234824	protein_coding
gene-LOC106604356	LOC106604356	NC_059446.1:18216616-18234824	protein_coding
gene-LOC106604388	LOC106604388	NC_059446.1:18234799-18241410	protein_coding
gene-LOC106604388	LOC106604388	NC_059446.1:18234799-18241410	protein_coding
gene-LOC106604388	LOC106604388	NC_059446.1:18234799-18241410	protein_coding
gene-kcnk4a	kcnk4a	NC_059446.1:18249211-18263589	protein_coding
gene-kcnk4a	kcnk4a	NC_059446.1:18249211-18263589	protein_coding
gene-kcnk4a	kcnk4a	NC_059446.1:18249211-18263589	protein_coding
gene-tgfb5	tgfb5	NC_059446.1:18265457-18272806	protein_coding
gene-tgfb5	tgfb5	NC_059446.1:18265457-18272806	protein_coding
gene-tgfb5	tgfb5	NC_059446.1:18265457-18272806	protein_coding
gene-trmt112	trmt112	NC_059446.1:18276691-18278101	gene=trmt112
gene-trmt112	trmt112	NC_059446.1:18276691-18278101	gene=trmt112
gene-trmt112	trmt112	NC_059446.1:18276691-18278101	gene=trmt112
gene-atg2a	atg2a	NC_059446.1:18278420-18306749	protein_coding
gene-atg2a	atg2a	NC_059446.1:18278420-18306749	protein_coding
gene-atg2a	atg2a	NC_059446.1:18278420-18306749	protein_coding
gene-LOC106604390	LOC106604390	NC_059446.1:18307014-18329280	protein_coding
gene-LOC106604390	LOC106604390	NC_059446.1:18307014-18329280	protein_coding
gene-LOC106604390	LOC106604390	NC_059446.1:18307014-18329280	protein_coding
gene-LOC106604393	LOC106604393	NC_059446.1:18329656-18334764	protein_coding
gene-LOC106604393	LOC106604393	NC_059446.1:18329656-18334875	protein_coding
gene-LOC106604393	LOC106604393	NC_059446.1:18329656-18334875	protein_coding
gene-LOC106604395	LOC106604395	NC_059446.1:18339435-18347220	protein_coding
gene-LOC106604395	LOC106604395	NC_059446.1:18339435-18348735	protein_coding
gene-ctsw	ctsw	NC_059446.1:18349055-18359591	gene=ctsw
